id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
7129300520,221900,3,1,1180,5650,1,0,7,1180,0,1955,0,98178,47.5112,-122.257
6414100192,538000,3,2.25,2570,7242,2,0,7,2170,400,1951,1991,98125,47.721,-122.319
5631500400,180000,2,1,770,10000,1,0,6,770,0,1933,0,98028,47.7379,-122.233
2487200875,604000,4,3,1960,5000,1,0,7,1050,910,1965,0,98136,47.5208,-122.393
1954400510,510000,3,2,1680,8080,1,0,8,1680,0,1987,0,98074,47.6168,-122.045
7237550310,1.225E+06,4,4.5,5420,101930,1,0,11,3890,1530,2001,0,98053,47.6561,-122.005
1321400060,257500,3,2.25,1715,6819,2,0,7,1715,0,1995,0,98003,47.3097,-122.327
2008000270,291850,3,1.5,1060,9711,1,0,7,1060,0,1963,0,98198,47.4095,-122.315
2414600126,229500,3,1,1780,7470,1,0,7,1050,730,1960,0,98146,47.5123,-122.337
3793500160,323000,3,2.5,1890,6560,2,0,7,1890,0,2003,0,98038,47.3684,-122.031
1736800520,662500,3,2.5,3560,9796,1,0,8,1860,1700,1965,0,98007,47.6007,-122.145
9212900260,468000,2,1,1160,6000,1,0,7,860,300,1942,0,98115,47.69,-122.292
114101516,310000,3,1,1430,19901,1.5,0,7,1430,0,1927,0,98028,47.7558,-122.229
6054650070,400000,3,1.75,1370,9680,1,0,7,1370,0,1977,0,98074,47.6127,-122.045
1175000570,530000,5,2,1810,4850,1.5,0,7,1810,0,1900,0,98107,47.67,-122.394
9297300055,650000,4,3,2950,5000,2,3,9,1980,970,1979,0,98126,47.5714,-122.375
1875500060,395000,3,2,1890,14040,2,0,7,1890,0,1994,0,98019,47.7277,-121.962
6865200140,485000,4,1,1600,4300,1.5,0,7,1600,0,1916,0,98103,47.6648,-122.343
16000397,189000,2,1,1200,9850,1,0,7,1200,0,1921,0,98002,47.3089,-122.21
7983200060,230000,3,1,1250,9774,1,0,7,1250,0,1969,0,98003,47.3343,-122.306
